id,name,mean,asco,username,confirm,likes,rating,total_rate
2,Astonishment,תדהמה,האיש(ish) היה בתדהמה כשהוא קיבל את האסטון מרטין (aston),יקיר,1,13,3.153846263885498,41
3,Fall apart,להתפרק,"Fall - זו נפילה , part - זה חלק - כאשר משהו מתפרק נופלים ממנו חלקים ",יקיר,1,0,3.0,0
4,Paramount,בעל חשיבות עליונה,אצל ההודים הפרה (PARA) בעלת חשיבות גבוהה כמו הר (MOUNTAIN),יקיר,1,1,3.0,3
7,Measure,למדוד,הוא מדד נפח באמצעות המשורה (measure) (משורה הוא כלי למדידת נפח),יקיר,1,1,2.0,2
8,Enact,לחוקק,"הם חוקקו חוקים וכעת &quot;אין אקשיין&quot; (en-act) ברחובות , הכל רגוע ושליו.",יקיר,1,0,0.0,0
9,Pass,לוותר,המפקד ויתר לו על העונש ונתן לו פס (pass) (אישור יציאה מהבסיס),יקיר,1,0,0.0,0
11,Facilitate,להקל,המילה מורכבת מfacil (שפירושה קל בספרדית) ו - tate : הוא נתן עזרה ועשה את זה יותר קל - הוא היקל עליו,יקיר,1,0,0.0,0
12,Alongside,במקביל,הפירוש המילולי הוא &quot;לאורך צד&quot; (along - side) - מה שהולך לאורך הצד הוא מקביל,יקיר,1,0,0.0,0
13,Besides,"בנוסף , חוץ מזה",המילה מורכבת מbe(להיות) ו-side(צד) - כלומר דבר שהוא מהצד הוא תוספת כלשהיא.,יקיר,1,0,0.0,0
14,Further,בהמשך,"מורכבת מfur(שנשמעת כמו far = רחוק) וther (דומה לthere = שם) : &quot;מה שנמצא רחוק ,שם זאת אומרת שהוא נמצא בהמשך&quot;",יקיר,1,0,0.0,0
15,Given that,בהתחשב בכך,אדם שאוהב לתת (give) הוא אדם מתחשב,יקיר,1,0,0.0,0
16,Arm,לחמש,נגזרת מהמילה army (צבא) - בצבא מחמשים את הלוחמים.,יקיר,1,0,0.0,0
17,Afford,הרשה לעצמו,הוא הרשה לעצמו לקנות בית ואף (aff = אפילו) פורד (ford = שם של מכונית),יקיר,1,1,5.0,5
18,Band,להקה,פירוש שמה של של הלהקה &quot;Red Band&quot; הוא &quot;הלהקה האדומה&quot;,יקיר,1,0,0.0,0
19,Coexist,"להתקיים בשותפות , דו קיום"," exist פירושה להתקיים , co זוהי תחילית אשר פירושה יחד - לכן דו-קיום , להתקיים יחד",יקיר,1,0,0.0,0
20,Count,רוזן,הרוזן נקרא count כדי להדגיש את חשיבותו (!) - כאילו הוא שווה כמו כל המדינה כולה (country),יקיר,1,0,0.0,0
21,Desert,לנטוש,המדבר (desert) הוא מקום נטוש,יקיר,1,0,0.0,0
22,Diverse,מגוון,"Di - זה תחילית שניים , verse זה קיצור של המילה גרסא(verstion) - &quot;דבר שיש לו שני גרסאות הוא דבר מגוון&quot;",יקיר,1,0,0.0,0
23,Extinct,"נכחד , נעלם",מורכב מ-ex ו-tin - נערות(teen)לא מדברות על האקס(ex) שלהן - כאילו הוא נכחד !,יקיר,1,0,0.0,0
24,Gain,"להרוויח , להוסיף",אבקת גיינר -(gain-er) היא אבקה שמוסיפה לך במשקל,יקיר,1,0,0.0,0
25,Hearsay,שמועה,המילה מתחלקת ל- hear(לשמוע) ו-say (אמירה): &quot;שמועה היא אמירה שנשמעת מפה לאוזן&quot;,יקיר,1,1,5.0,5
26,Impartial,בלתי משוחד,"תחילית im פירושה שלילה , part פירושה חלק - &quot;השופט לא לוקח חלק באף צד - הוא בלתי משוחד&quot;",יקיר,1,0,0.0,0
27,Belief,אמונה,מזכיר את המילה believe - להאמין.,יקיר,1,0,0.0,0
28,Chiefly,בעיקר,צ׳יף (chief) הוא ראש השבט ועל כן הוא עיקר השבט,דביר,1,0,0.0,0
32,Avail,לעזור,אביגיל (avi(g)ail) תמיד עוזרת לי ,נעה לין,1,0,0.0,0
33,Albeit,אף על פי,אני צריך ללכת אל בית (Al beit) הספר &quot;אף על פי&quot; שלא בא לי,רוני,1,0,0.0,0
34,Obstacle,מכשול,אופס(obs) סתכל(stacle),רחל,1,1,2.0,2
36,Thorax,בית חזה,הגרזן של ת'ור (אפילו שבפועל יש לו פטיש) Thor ax נכנס למישהו לבית החזה,עידו,1,0,0.0,0
37,Obstacle,מכשול," אופס(obs) , יש תקלה (tacle = תקל) קטנה , יש מכשול",יקיר,1,0,0.0,0
40,Dissenter,"בדלן, פורש",מי שלא רוצה להיות במרכז (דיס-סנטר).,הודיה,1,0,0.0,0
42,Dismiss,"לפטר, לשחרר",אם המנהל יפטר או ישחרר את העובד הוא לא יתגעגע אליו (miss),רועי,1,0,0.0,0
43,Dismiss,"לפטר , לשחרר , לבטל",הוא פיטר אותו מהעבודה ובכך פספס(miss) לגמרי (dis = תחילית שמשמשת גם כן &quot;לחלוטין&quot;) את הזדמנות חייו,יקיר,1,0,0.0,0
44,Radiation,קרינה,ההתחלה של המילה(radi) מזכירה את המילה רדיואקטיבי : קרינה רדיואקטיבית היא מסוכנת,יקיר,1,0,0.0,0
45,Recover,להתאושש,"Rec (ריק) over (נגמר) - &quot;הוא הרגיש ריקני אבל זה נגמר , כעת הוא מתאושש&quot;",יקיר,1,0,0.0,0
46,Resemble,דומה,Sem (נשמע כמו דומה - same) ו - ble (נשמע כמו מבלבל) : הם כל כך דומים שזה כבר מבלבל,יקיר,1,0,0.0,0
47,Residence,מגורים,Resi (דומה לreceive = לקבל) וdence (מזכיר את dance = לרקוד) : &quot;כשהוא קיבל את המגורים הוא רקד משמחה&quot;,יקיר,1,0,0.0,0
48,Restrain,לרסן,Rest(לנוח) ו-rain (גשם) - &quot;אלוקים אמר לגשם לנוח - הוא ריסן אותו&quot;,יקיר,1,0,0.0,0
49,Sentence,גזר דין,Sentence (פירושו משפט) - &quot;הוא העמיד אותו למשפט וגזר את הדין&quot;,יקיר,1,0,0.0,0
50,Servant,משרת,Serve (זה להגיש (מוכר אולי מטניס לחלקנו)) - &quot;הוא המשרת שלו לכן הוא מגיש לו את האוכל,יקיר,1,0,0.0,0
51,Sheer,"מוחלט, לחלוטין",מזכירה את המילה sure (בטוח) - משהו בטוח זה משהו מוחלט,יקיר,1,0,0.0,0
52,Specialize,להתמחות,"תחילת המילה spec - (להיות ספץ(סלנג)) - הוא התמחה בזה , כעת הוא ממש ספץ (בקיא)",יקיר,1,0,0.0,0
53,Peer,"עמית , שווה מעמד ",אתה שותה בירה (beer) עם עמית ,גאיה,1,0,0.0,0
55,Profoundly ,"עומקות , מעומק הלב",כדי למצוא found צריך לחפש בעומק,גאיה,1,0,0.0,0
56,Spoil,"לקלקל , להרוס",הוא סיפר לו ספוילר (spoiler) ובכך הרס וקלקל לו את הצפייה בסדרה,יקיר,1,0,0.0,0
57,Sustain,סבל מ-,הסוס(sus) סבל מהמכות שהאיש נתן (tain - תן - נתן) לו,יקיר,1,0,0.0,0
58,Fundamental,בסיסי,פאנטה זה מצרך בסיסי,קורל,1,0,0.0,0
59,Donate,לתרום,הדונטס תרמו לי הרבה שומן ?,נוי,1,0,0.0,0
60,Adjust,להתרגל,"Add- להוסיף, just- רק. כשמתרגלים למשהו חדש, כל פעם מוסיפים קצת.",מעין בלאיש,1,0,0.0,0
61,The equator,קו המשווה,המילה מזכירה את המילה אקוודור(Ecuador) ואכן הקו המשווה עובר במדינת אקוודור,יקיר,1,0,0.0,0
62,Rarely,לעיתים רחוקות,לעיתים רחוקות הסטייק יוצא רייר (בדרך כלל הוא נשרף)- תודה לאמא... ,מעין בלאיש,1,0,0.0,0
63,Regularly,באופן קבוע,"Regular(רגיל) - מה שקורה באופן רגיל , ביומיום , באופן קבוע.",יקיר,1,0,0.0,0
65,Perpetually,לנצח,"תחילה המילה מורכבת מper(לכל) וpet(חיית מחמד) לכל חיית מחמד יש סוף , היא לא תחיה לנצח ",יקיר,1,0,0.0,0
66,Believe,להאמין,להיות בלב. אמונות שוכנות בלב. ,ליאת,1,0,0.0,0
68,Bold,חצוף,הוא עושה בוווו (bo - מבהיל) לאנשים זקנים(old) - הוא ממש חצוף,יקיר,1,0,0.0,0
69,Abandon,"לזנוח, לנטוש",הוא החליט לתת באן(החרים) למשהו שכבר נעשה(done) - הוא זנח אותו,יקיר,1,0,0.0,0
70,Joint,"מפרק , חיבור","מקום חיבור העצמות - כמו שJOIN זה להצטרף , ככה המפרק מצרף ומחבר בין העצמות.",יקיר,1,0,0.0,0
71,Abbreviation,קיצור,Abbr מזכיר uber (חברת מוניות) - המונית מקצרת לי את הדרך,מאור,1,0,0.0,0
72,Submerged,"צלל, שקע",מזכיר את המילה submarine - צוללת,מאור,1,0,0.0,0
73,Reduce,להפחית ,"רידיוס מתחרז עם מינוס , ומינוס זה להפחית ",לידור,1,0,0.0,0
75,Marine,ימי,המארינס הם לוחמים שנלחמים בים.,יקיר,1,0,0.0,0
76,Cane,מקל הליכה,זקנים can(יכולים) ללכת עם cane(מקל הליכה),לידור,1,0,0.0,0
77,Eminent,"בולט, בכיר",דומה מאד למילה דומיננטי (dominant = מישהו שהוא דומיננטי (מאד מרכזי ובולט בשפת הדיבור)),יקיר,1,0,0.0,0
78,Enclose,לצרף,מורכבת מen(אין) וclose(לסגור) - &quot;אין לסגור את הקבוצה בפני אף אחד יש לצרף כל אחד שמבקש&quot;,יקיר,1,0,0.0,0
79,Evade,התחמק,המילה דומה מאד למילה עבד - &quot;העבד התחמק מאדונו ועכשיו הוא חופשי&quot;,יקיר,1,0,0.0,0
80,Fall,סתיו,בסתיו נופלים (fall) העלים מהעצים,יקיר,1,0,0.0,0
81,Flourish,"לשגשג , לפרוח","האיש(ish) משגשג , הוא פורח כמו פרח(flower- flour) [ליודעי הספרדית בינינו flor - פרח]",יקיר,1,0,0.0,0
82,Solicit ,לשדל,יש מישהו שקוראים לו סולי ואני מבקשת ממנו לעשות משהו (סיט-שב),ג'ולי ,1,0,0.0,0
83,Rich,עשיר,אדם עשיר אוכל קצפת ריץ',נירית,1,0,0.0,0
85,Season,לתבל,Sea(ים) son (בן = הבן הוא בעצם תוצר של האב): &quot;הוא תיבל את האוכל בתוצר של הים (תיבל במלח)&quot; ,יקיר,1,0,0.0,0
86,Comfort,נחמה,כששאול המלך חיפש נחמה הוא ביקש מדוד לקום (com) ודוד היה פורט(fort) בנבל,יקיר,1,0,0.0,0
